Epoch,Train Loss,Val Loss,Dice Score,Time (s)
82,0.07702999932318925,0.3493566626310349,0.7153182029724121,574.1050155162811
83,0.07695761658065021,0.3492081129550934,0.7161014676094055,498.0466253757477
84,0.07697636371292174,0.3490290396213532,0.7161349654197693,498.65481090545654
85,0.07665072128921747,0.3495861587524414,0.7156289219856262,497.3042516708374
86,0.07687373930960893,0.34893701672554017,0.7164482474327087,715.6730964183807
87,0.07665345978364349,0.3485448044538498,0.7165964245796204,497.29397773742676
88,0.07659544124640524,0.34869520032405854,0.7166338562965393,497.10576605796814
89,0.07647999743558466,0.348638999402523,0.7166305184364319,723.6099326610565
90,0.07634985414519906,0.34835234051942826,0.716850996017456,497.49862360954285
91,0.07622917683795094,0.3491272532343864,0.7162273526191711,497.91847705841064
92,0.07641902266070247,0.3496835998296738,0.715843915939331,497.9591600894928
93,0.07623602243512868,0.34863871455192563,0.7166532278060913,497.6241135597229
94,0.07639078172110021,0.3492042437791824,0.7160640358924866,497.94795274734497
95,0.07607731112837791,0.34936168003082274,0.7158985733985901,550.6265022754669
96,0.07612295681610703,0.34916877222061155,0.7160364985466003,497.37405824661255
97,0.07648371634632349,0.3490824737548828,0.7161215543746948,497.5102937221527
98,0.07646367907337845,0.34911198711395264,0.7161133885383606,497.13821482658386
99,0.07600245990045369,0.34906232708692553,0.7161749005317688,497.2120122909546
100,0.07622362915426492,0.34905692529678345,0.7161551117897034,497.4267075061798
