Epoch,Train Loss,Val Loss,Dice Score,Time (s)
1,0.28622534906864167,0.9132045760154724,0.541006326675415,3607.8430948257446
2,0.2095292261391878,0.7297405941486359,0.5721443891525269,12032.77102470398
3,0.17308494206517935,0.6103537676334381,0.5989735126495361,13418.77895283699
4,0.14813252769038082,0.5461514022350311,0.6078254580497742,5644.275922060013
5,0.1346236474402249,0.5047573119401931,0.6257323026657104,6127.33118891716
6,0.12579373604804278,0.47030290007591247,0.6371350288391113,12357.207802057266
7,0.12104984432086349,0.4592496287822723,0.6398349404335022,13939.583277702332
8,0.11533736557886004,0.4765828083753586,0.6219170093536377,12207.36565876007
9,0.11289927874878049,0.4316230890750885,0.6545828580856323,14562.872811317444
10,0.10957266942039132,0.42039569962024687,0.663398802280426,11918.363357782364
11,0.10789972580038011,0.40897843372821807,0.6708796620368958,14303.55144071579
12,0.10454727955907583,0.4071200467348099,0.6717739105224609,12060.60446190834
13,0.1023680111002177,0.39490228271484373,0.681832492351532,14621.951022863388
14,0.10086912054196,0.392963304400444,0.682953953742981,12263.33743929863
15,0.10030660124495626,0.38890402698516846,0.6856274008750916,14604.339887142181
